transaction_id,customer_id,product_id,transaction_date,quantity,payment_method,unit_price,total_amount,timestamp
1,59,6,2024-05-29,3,Tarjeta,1000,3050.2218773405357,2024-05-29 08:52:38
2,2,4,2024-04-25,1,Tarjeta,100,119.55443181927205,2024-04-25 00:28:15
3,2,2,2024-10-09,3,Transferencia,30,346.11758029706914,2024-10-09 13:52:12
4,92,4,2024-01-08,1,Tarjeta,100,131.58379569859312,2024-01-08 12:17:05
5,54,5,2024-04-03,2,Transferencia,500,1055.0924888697534,2024-04-03 00:23:23
6,87,2,2024-02-26,2,Tarjeta,30,170.88406122502505,2024-02-26 23:09:06
7,96,8,2024-03-22,1,Tarjeta,350,429.18724182262616,2024-03-22 20:39:51
8,97,3,2024-06-23,2,Transferencia,50,131.15037334421783,2024-06-23 10:43:56
9,1,3,2024-05-09,1,Tarjeta,50,111.91271276744303,2024-05-09 03:00:39
10,19,6,2024-07-23,1,Efectivo,1000,1020.7289398556516,2024-07-23 18:12:26
11,2,2,2024-09-23,2,Transferencia,30,86.56298914861132,2024-09-23 13:17:09
12,53,1,2024-05-03,1,Transferencia,100,114.74695569459956,2024-05-03 02:33:50
13,44,2,2024-07-10,3,Transferencia,30,345.22430921627915,2024-07-10 14:26:17
14,90,5,2024-08-17,3,Efectivo,500,1561.8525705795769,2024-08-17 11:10:32
15,32,1,2024-02-16,2,Transferencia,100,228.12724559421255,2024-02-16 07:07:31
16,70,7,2024-04-19,2,Tarjeta,720,1538.8219796857243,2024-04-19 11:06:03
17,32,7,2024-07-25,1,Tarjeta,720,805.9594124747822,2024-07-25 15:31:12
18,68,8,2024-02-20,1,Tarjeta,350,383.61675388403717,2024-02-20 21:59:58
19,55,7,2024-06-02,1,Transferencia,720,767.9541355773325,2024-06-02 03:48:59
20,75,3,2024-03-17,1,Tarjeta,50,63.593027930737605,2024-03-17 17:34:54
21,56,2,2024-10-22,3,Transferencia,30,241.2511988164165,2024-10-22 13:25:56
22,17,7,2024-09-10,3,Tarjeta,720,2345.955531772026,2024-09-10 00:29:49
23,38,4,2024-09-05,2,Efectivo,100,322.763269675386,2024-09-05 05:23:40
24,24,6,2024-06-26,1,Efectivo,1000,1039.9184022956929,2024-06-26 10:26:46
25,69,4,2024-08-07,1,Efectivo,100,138.3979862596822,2024-08-07 10:44:00
26,98,7,2024-07-21,2,Efectivo,720,1479.1922514085877,2024-07-21 12:15:35
27,70,8,2024-02-01,1,Transferencia,350,393.01184885816417,2024-02-01 10:17:47
28,86,6,2024-09-15,1,Tarjeta,1000,1018.9545201985668,2024-09-15 16:13:40
29,11,5,2024-04-02,1,Efectivo,500,578.9936350240846,2024-04-02 04:49:17
30,16,4,2024-02-05,1,Transferencia,100,196.96468679733673,2024-02-05 11:04:11
31,97,8,2024-09-11,1,Efectivo,350,447.30670110000364,2024-09-11 10:37:42
32,73,2,2024-10-15,2,Efectivo,30,235.7127978875709,2024-10-15 21:20:53
33,59,2,2024-01-14,1,Transferencia,30,94.07129344056571,2024-01-14 16:17:23
34,70,4,2024-06-30,2,Transferencia,100,346.15582550389837,2024-06-30 05:58:54
35,80,7,2024-02-20,1,Tarjeta,720,755.6685222412373,2024-02-20 09:07:52
36,93,8,2024-04-16,3,Tarjeta,350,1250.3080134466077,2024-04-16 02:08:09
37,3,2,2024-07-10,3,Efectivo,30,243.0253783487669,2024-07-10 19:11:43
38,20,5,2024-05-18,3,Efectivo,500,1660.1446817397716,2024-05-18 23:57:48
39,59,1,2024-04-18,3,Tarjeta,100,534.5996713012926,2024-04-18 23:58:30
40,36,7,2024-03-19,2,Tarjeta,720,1510.7453040075052,2024-03-19 10:23:32
41,19,8,2024-05-22,2,Transferencia,350,777.2471301050136,2024-05-22 13:15:34
42,90,5,2024-04-01,1,Tarjeta,500,593.2177612015773,2024-04-01 19:25:30
43,67,8,2024-03-14,3,Tarjeta,350,1095.1805596097624,2024-03-14 06:10:28
44,19,6,2024-05-16,2,Efectivo,1000,2107.4141737144014,2024-05-16 21:38:44
45,20,5,2024-01-17,1,Tarjeta,500,592.1520720367075,2024-01-17 03:08:39
46,96,7,2024-08-31,1,Efectivo,720,784.9326707036341,2024-08-31 01:47:55
47,71,6,2024-06-07,2,Tarjeta,1000,2118.3532733581837,2024-06-07 23:14:54
48,52,7,2024-04-13,3,Transferencia,720,2257.430928391926,2024-04-13 04:05:28
49,33,2,2024-04-11,1,Tarjeta,30,70.89479401580034,2024-04-11 08:12:25
50,40,1,2024-07-22,3,Tarjeta,100,560.053072267267,2024-07-22 22:41:26
51,39,7,2024-06-30,3,Tarjeta,720,2340.988895577484,2024-06-30 17:09:16
52,82,7,2024-06-16,3,Efectivo,720,2328.9803923143304,2024-06-16 19:06:15
53,1,2,2024-09-22,1,Transferencia,30,48.962174218602605,2024-09-22 10:44:59
54,11,3,2024-02-03,3,Tarjeta,50,184.32760224288324,2024-02-03 10:13:41
55,92,2,2024-07-04,1,Efectivo,30,126.73166698183442,2024-07-04 08:30:15
56,57,6,2024-05-21,3,Transferencia,1000,3131.7862651674477,2024-05-21 03:49:06
57,89,2,2024-04-05,1,Efectivo,30,94.28917558895539,2024-04-05 06:19:05
58,50,2,2024-04-23,3,Efectivo,30,141.52306976056695,2024-04-23 00:20:45
59,23,1,2024-03-16,2,Transferencia,100,342.9605714301484,2024-03-16 06:54:13
60,31,2,2024-06-08,3,Tarjeta,30,371.79301135060945,2024-06-08 07:40:32
61,94,8,2024-03-25,3,Efectivo,350,1235.4296183093034,2024-03-25 03:34:16
62,42,7,2024-05-11,1,Efectivo,720,741.350379013787,2024-05-11 15:48:13
63,99,8,2024-07-08,1,Tarjeta,350,412.3549374726129,2024-07-08 19:37:21
64,7,1,2024-06-12,3,Tarjeta,100,536.9137475382562,2024-06-12 18:54:09
65,16,4,2024-02-14,2,Transferencia,100,293.15497658332333,2024-02-14 16:09:42
66,90,3,2024-05-23,2,Transferencia,50,278.37079462946417,2024-05-23 00:46:41
67,60,8,2024-09-07,1,Transferencia,350,418.3814658021628,2024-09-07 22:03:51
68,2,1,2024-07-09,2,Tarjeta,100,381.8648052920564,2024-07-09 11:02:29
69,1,6,2024-03-23,3,Efectivo,1000,3198.346434036781,2024-03-23 20:29:17
70,48,4,2024-10-25,1,Efectivo,100,121.81591748043418,2024-10-25 15:27:34
